ANACOLUTOS	 1. m. Gram. Inconsecuencia en la construcción del discurso.
Abra	1. f. Bahía no muy extensa. 2. f. Abertura ancha y despejada entre dos montañas. 3. f. Grieta producida en el terreno por efecto de sacudidas sísmicas.
Abula	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Adanismo	1. m. Hábito de comenzar una actividad cualquiera como si nadie la hubiera ejercitado anteriormente. 2. m. Desnudismo, práctica de la desnudez.
Agape	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Alastrar	 Tenderse contra la tierra para no ser descubierto.
Alcorán	 1. m. Corán.
Amoragar	 1. tr. p. us. Asar con fuego de leña, y en la playa, sardinas y otros peces o moluscos.
Analepsis	 1. f. Ret. Pasaje de una obra literaria que trae una escena del pasado rompiendo la secuencia cronológica.
Andalus	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Aovillarse	 1. prnl. Encogerse mucho, hacerse un ovillo.
Apostasía	 1. f. Acción y efecto de apostatar.
Apurruñar	 1. tr. Cuba y Ven. Apretar cariñosamente a alguien. U. t. c. prnl. 2. tr. coloq. Ven. Apretar, estrechar algo con el puño.
Arrobar	Entradas que contienen la forma «Arrobar» | Diccionario de la lengua española | RAE - ASALE
Artralgia	 1. f. Med. Dolor de las articulaciones.
Ayo	 1. m. y f. Persona encargada en las casas principales de custodiar niños o jóvenes y de cuidar de su crianza y educación.
Baldragas	 1. m. coloq. Hombre insustancial, simple y de poco carácter. U. t. c. adj.
Bebistrajo	 1. m. coloq. Mezcla irregular y extravagante de bebidas. 2. m. coloq. Bebida nauseabunda o muy desagradable.
Bedel	 1. m. y f. En los centros de enseñanza, persona cuyo oficio es cuidar del orden fuera de las aulas, además de otras funciones auxiliares.
Berzotas	 1. m. y f. coloq. Persona ignorante o necia.
Bisbisear	 1. tr. coloq. musitar.
Bogavante	Entradas que contienen la forma «Bogavante» | Diccionario de la lengua española | RAE - ASALE
Borono	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Bulo	 1. m. Noticia falsa propalada con algún fin.
Calabobos	 1. m. coloq. Llovizna pertinaz.
Calobiótica	 1. f. Arte de vivir bien. 2. f. Tendencia del ser humano a una vida ordenada y regular.
Camasquince	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Canticio	 1. m. coloq. Canto frecuente y molesto.
Cañígitano	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Cernícalo	1. m. Ave de rapiña, común en España, de unos 40 cm de largo, con cabeza abultada, pico y uñas negros y fuertes, y plumaje rojizo más oscuro por la espalda que por el pecho y manchado de negro.
Chafalmejas	 1. m. y f. coloq. pintamonas.
Chapuza	1. f. Obra o trabajo, generalmente de mantenimiento, de poca importancia. 2. f. Trabajo hecho mal y sin esmero. 3. f. Méx. estafa (‖ acción de estafar).
Chicote	Entradas que contienen la forma «Chicote» | Diccionario de la lengua española | RAE - ASALE
Chuminada	 1. f. coloq. Tontería, estupidez, cosa sin importancia.
Chupatintas	 1. m. y f. despect. coloq. Oficinista de poca categoría.
Cicerone	 1. m. y f. Persona que enseña y explica las curiosidades de una localidad, edificio, etc.
Cipote	Entradas que contienen la forma «Cipote» | Diccionario de la lengua española | RAE - ASALE
Cocodriz	Versión electrónica 23.4 del «Diccionario de la lengua española», obra lexicográfica académica por excelencia.
Creso	 1. m. Hombre que posee grandes riquezas.
Crotal	1. m. Placa para la identificación y control de animales formada por dos piezas que se acoplan y se colocan en algún lugar visible de su cuerpo.
Cálamo	1. m. Especie de flauta antigua. 2. m. Parte inferior hueca del eje de las plumas de las aves, que no lleva barbas y se inserta en la piel.
Desamorrar	1. tr. coloq. Hacer que alguien levante la cabeza o que, dejando el silencio en que estaba, responda y converse con quienes están presentes.
